_ - id,_ - url,_ - rank,_ - city,_ - ifmid,_ - ifiid,_ - growth,_ - workers,_ - company,_ - website,_ - state_l,_ - state_s,_ - revenue,_ - zipcode,_ - founded,_ - industry,_ - latitude,_ - metrocode,_ - longitude,_ - yrs_on_list,_ - previous_workers,_ - metro,_ - partner_lists - partner_lists
88574,housepaws-mobile-veterinary-service,2546,Mount Laurel,49,10,167.9423,74,HousePaws Mobile Veterinary Service,housepawsmobilevet.com,New Jersey,NJ,5770298,8054,2010,Health,39.94899,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-74.90025,1,31,Philadelphia,
88575,brinkman,2547,Ft Collins,120,3,167.9243,28,Brinkman,brinkmancolorado.com,Colorado,CO,3336349,80528,2005,Real Estate,40.4946,"Fort Collins-Loveland, CO",-105.00464,1,24,,
43433,lightspeed-voice,2548,North Venice,576,14,167.8434,28,Lightspeed Voice,lightspeedvoice.com,Florida,FL,3841758,34275,2009,Telecommunications,27.15179,"Sarasota-Bradenton-Venice, FL",-82.42244,3,11,"Sarasota-Bradenton-Venice, FL",
88576,trustpilot,2549,New York City,9,17,167.8031,600,Trustpilot,trustpilot.com,New York,NY,52666156,10016,2007,Business Products & Services,40.74522,"New York-Newark-Jersey City, NY-NJ-PA",-73.9783,1,400,New York City,
23174,paramount-business-jets,2550,Leesburg,3,22,167.6814,20,Paramount Business Jets,paramountbusinessjets.com,Virginia,VA,15385631,20176,2005,Travel & Hospitality,39.18471,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.54411,3,7,"Washington, DC",
88577,rastaclat,2551,Lakewood,2,4,167.6683,27,Rastaclat,rastaclat.com,California,CA,9544805,90712,2011,Consumer Products & Services,33.84903,"Los Angeles-Long Beach-Anaheim, CA",-118.1479,1,5,Los Angeles,EO
68336,metric-theory,2552,San Francisco,4,5,167.5216,80,Metric Theory,metrictheory.com,California,CA,13980263,94104,2012,Advertising & Marketing,37.79141,"San Francisco-Oakland-Hayward, CA",-122.40213,2,35,San Francisco,
75626,greenform,2553,Chattanooga,110,20,167.5053,30,GreenForm,mygreenform.com,Tennessee,TN,7669183,37407,2012,Construction,35.00194,"Chattanooga, TN-GA",-85.28972,2,6,,
14456,commonwealth,2554,Cincinnati,47,6,167.4476,88,Commonwealth,commonwealthinc.com,Ohio,OH,11242062,45242,1985,Logistics & Transportation,39.2428,"Cincinnati, OH-KY-IN",-84.353,5,28,Cincinnati,
43561,stored-technology-solutions,2555,Queensbury,435,28,167.4169,40,Stored Technology Solutions,storedtech.com,New York,NY,6587975,12804,2009,IT Management,43.34095,"Glens Falls, NY",-73.68591,2,14,,
75361,first-national-title-insurance-company,2556,Plano,8,1,167.0717,20,First National Title Insurance Company,fnti.com,Texas,TX,97256036,75093,2012,Insurance,33.03422,"Dallas-Fort Worth-Arlington, TX",-96.81161,2,11,Dallas,
88578,extraordinary-journeys,2557,New York City,9,22,166.9943,23,Extraordinary Journeys,extraordinaryjourneys.com,New York,NY,13732485,10019,2009,Travel & Hospitality,40.76582,"New York-Newark-Jersey City, NY-NJ-PA",-73.98717,1,8,New York City,
37033,humann,2558,Austin,18,10,166.6273,25,HumanN,humann.com,Texas,TX,35898616,78746,2010,Health,30.29687,"Austin-Round Rock, TX",-97.80958,4,15,Austin,
70986,blackrock-construction,2559,South Burlington,156,20,166.5271,7,BlackRock Construction,blackrockus.com,Vermont,VT,4452935,5495,2012,Construction,44.42907,"Burlington-South Burlington, VT",-73.09624,2,5,,
74916,edge-business-systems,2560,Roswell,29,17,166.3963,34,EDGE Business Systems,edgeatl.com,Georgia,GA,9898991,30076,2012,Business Products & Services,34.02848,"Atlanta-Sandy Springs-Roswell, GA",-84.31142,2,5,Atlanta,
88579,just-events-groupdba-just-marrydba-just-right-destination-management,2561,Orlando,68,22,166.3368,25,Just Events! Group/dba Just Marry!/dba Just Right! Destination Management,justeventsgroup.com,Florida,FL,2993708,32819,1992,Travel & Hospitality,28.45338,"Orlando-Kissimmee-Sanford, FL",-81.4724,1,8,"Orlando, FL",
74646,momentum-factor,2562,Austin,18,9,166.2199,13,Momentum Factor,momofactor.com,Texas,TX,3269857,78759,2009,Software,30.40266,"Austin-Round Rock, TX",-97.76106,2,14,Austin,
88580,skyword,2563,Boston,6,5,166.0624,159,Skyword,skyword.com,Massachusetts,MA,15264000,2111,2010,Advertising & Marketing,42.35052,"Boston-Cambridge-Newton, MA-NH",-71.05908,1,103,Boston,
36966,kpi-logistics,2564,San Diego,11,6,166.0364,16,KPI Logistics,kpilogistics.com,California,CA,25299882,92130,2010,Logistics & Transportation,32.94579,"San Diego-Carlsbad, CA",-117.21437,3,8,San Diego,
88581,one-brand-marketing,2565,Tarpon Springs,7,5,165.8221,15,One Brand Marketing,onebrandmarketing.com,Florida,FL,4696029,34689,2012,Advertising & Marketing,28.14831,"Tampa-St. Petersburg-Clearwater, FL",-82.75988,1,10,Tampa,
43400,twg-insurance-agency,2566,Braintree,6,1,165.8097,15,TWG Insurance Agency,westportgp.com,Massachusetts,MA,10601401,2184,2007,Insurance,42.20619,"Boston-Cambridge-Newton, MA-NH",-71.00232,3,6,Boston,
43571,gear,2567,San Francisco,4,9,165.7794,298,Gear,gearinc.com,California,CA,5310634,94104,2007,Software,37.79141,"San Francisco-Oakland-Hayward, CA",-122.40213,3,227,San Francisco,
43290,akorbi,2568,Plano,8,17,165.7496,800,Akorbi,akorbi.com,Texas,TX,36560598,75093,2003,Business Products & Services,33.03422,"Dallas-Fort Worth-Arlington, TX",-96.81161,3,600,Dallas,Vistage
