_ - rank,Profile,name,url,state,_ - revenue,_ - growth,_ - industry,_ - workers,_ - founded,_ - yrs_on_list,_ - previous_workers,_ - metro,city
2635,https://www.inc.com/profile/your-wealth-effect,Your Wealth Effect,yourwealtheffect.net,CA,2100000,147.8178,Financial Services,5,2009,1,3,Los Angeles,Santa Ana
2649,https://www.inc.com/profile/bos-staffing,BOS Staffing,bosmedicalstaffing.com,GA,2100000,146.75,Human Resources,100,2015,6,15,,athens
2956,https://www.inc.com/profile/local-loyalty-marketing-solutions-nc,Local Loyalty Marketing Solutions NC,leadsnearby.com,NC,2100000,126.3973,Advertising & Marketing,23,2010,1,10,"Raleigh, NC",Cary
2971,https://www.inc.com/profile/rank-crankers,Rank Crankers,rankcrankers.com,MN,2100000,125.8574,Advertising & Marketing,22,2009,1,7,Minneapolis,Minneapolis
3003,https://www.inc.com/profile/aligne-wealth-preservation-insurance-services,Aligne Wealth Preservation & Insurance Services,http://alignewealth.com,CA,2100000,123.9244,Financial Services,7,2011,1,3,Los Angeles,Los Angeles
3094,https://www.inc.com/profile/modality-solutions,Modality Solutions,modality-solutions.com,TX,2100000,119.5006,Engineering,8,2011,1,7,Houston,League City
3203,https://www.inc.com/profile/generation-iron-brands,Generation Iron Brands,generationiron.com/network,NY,2100000,113.9,Media,12,2014,1,3,New York City,New York
3324,https://www.inc.com/profile/rockland-insurance-agency,Rockland Insurance Agency,gorockland.com,TX,2100000,107.941,Insurance,24,2008,1,15,Houston,Richmond
3398,https://www.inc.com/profile/mbw-enterprises,MBW Enterprises,collegehunkshaulingjunk.com/northern-virginia,VA,2100000,104.567,Consumer Products & Services,29,2014,1,18,"Washington, DC",falls church
3435,https://www.inc.com/profile/hunter-business-law,Hunter Business Law,hunterbusinesslaw.com,FL,2100000,102.572,Business Products & Services,9,2013,1,4,Tampa,Tampa
3517,https://www.inc.com/profile/the-quintin-group-@-keller-williams,The Quintin Group @ Keller Williams,thequintingroup.com,NJ,2100000,99.6995,Real Estate,20,1992,1,5,,Ocean City
3627,https://www.inc.com/profile/a-a-plumbing,A & A Plumbing,aaplumbingsa.com,TX,2100000,96.237,Construction,17,2007,1,6,"San Antonio, TX",San Antonio
3633,https://www.inc.com/profile/cgs-business-solutions,CGS Business Solutions,cgs-it.net,CA,2100000,95.9057,IT Management,11,2009,2,5,Los Angeles,San Juan Capistrano
3751,https://www.inc.com/profile/the-braun-agency,The Braun Agency,braunagency.com,VA,2100000,90.5269,Insurance,39,1998,1,12,Virginia Beach,Virginia Beach
3757,https://www.inc.com/profile/altexsoft,AltexSoft,altexsoft.com,CA,2100000,89.9197,IT System Development,200,2007,2,150,San Diego,Carlsbad
4063,https://www.inc.com/profile/kendall-capital-management,Kendall Capital Management,kendallcapital.com,MD,2100000,79.1382,Consumer Products & Services,8,2005,1,6,"Washington, DC",ROCKVILLE
4447,https://www.inc.com/profile/pjp-marketing,PJP Marketing,philipfsmith.com,NY,2100000,66.7943,Advertising & Marketing,1,2010,2,1,New York City,Smithtown
4632,https://www.inc.com/profile/sentinel-security-solutions,Sentinel Security Solutions,sentinelsecuritysolutions.com,CA,2100000,62.0283,Security,16,2009,1,6,,Grover Beach
4635,https://www.inc.com/profile/julianna-rae,Julianna Rae,juliannarae.com,MA,2100000,61.9375,Retail,5,2004,1,4,Boston,Burlington
4827,https://www.inc.com/profile/clubdrive-systems,ClubDrive Systems,clubdrive.com,GA,2100000,57.3603,IT Services,10,2008,1,6,Atlanta,Atlanta
4895,https://www.inc.com/profile/harvest-software-solutions,Harvest Software Solutions,harvest-soft.com,FL,2100000,55.4762,IT System Development,16,2004,2,11,"Jacksonville, FL",Jacksonville
4988,https://www.inc.com/profile/vector-choice-technology-solutions,Vector Choice Technology Solutions,vectorchoice.com,GA,2100000,52.5684,IT Management,13,2008,1,9,Atlanta,Duluth
195,https://www.inc.com/profile/polaris-energy-services,Polaris Energy Services,polarisenergyservices.com,CA,2200000,2047.1979,Energy,10,2014,1,2,,San Luis Obispo
