Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
SK Innovation,17.866,40.92,1.8609,31.987,417,Energy,Oil & Gas Operations,Asia,South Korea,South Korea,,Jun Kim,http://www.forbes.com/companies/sk-innovation/,0.058176759,0.04547654,
Las Vegas Sands,61.667,13.355,3.782,21.504,418,Consumer Discretionary,Casinos & Gaming,North America,United States,Nevada,Nevada,Sheldon Adelson,http://www.forbes.com/companies/las-vegas-sands/,0.175874256,0.283189817,
Fairfax Financial,16.432,14.949,2.3277,65.013,419,Financials,Property & Casualty Insurance,North America,Canada,Canada,,Vivian Watsa,http://www.forbes.com/companies/fairfax-financial/,0.035803609,0.155709412,
China Yangtze Power,56.02,7.446,3.3776,47.266,420,Utilities,Electric Utilities,Asia,China,China,,Ding Zhang,http://www.forbes.com/companies/china-yangtze-power/,0.0714594,0.453612678,
Abbott Laboratories,107.4,28.445,0.466,70.908,421,Health Care,Pharmaceuticals,North America,United States,Illinois,Illinois,Miles White,http://www.forbes.com/companies/abbott-laboratories/,0.006571896,0.016382493,
Marriott International,49.406,22.339,1.405,24.484,421,Consumer Discretionary,Hotels & Motels,North America,United States,Maryland,Maryland,Arne Sorenson,http://www.forbes.com/companies/marriott-international/,0.057384414,0.062894489,
Bouygues,18.768,37.114,1.2238,42.962,423,Industrials,Construction Services,Europe,France,France,,Martin Bouygues,http://www.forbes.com/companies/bouygues/,0.028485638,0.03297408,
Fifth Third Bancorp,23.293,7.79,2.567,141.5,424,Financials,Regional Banks,North America,United States,Ohio,Ohio,Gregory Carmichael,http://www.forbes.com/companies/fifth-third-bancorp/,0.018141343,0.329525032,
Biogen,59.587,11.319,2.9644,26.09,425,Health Care,Biotechs,North America,United States,Massachusetts,Massachusetts,Michel Vounatsos,http://www.forbes.com/companies/biogen-idec/,0.113622077,0.261895927,
SSE,19.351,37.95,1.8027,30.019,425,Utilities,Electric Utilities,Europe,United Kingdom,United Kingdom,,Alistair CA,http://www.forbes.com/companies/sse/,0.060051967,0.047501976,
