year,rank,name,url,founded,street1,city,state,zip,revenue,% growth,Headcount,Industry,Revenue Raw
2017,2657,Parts Town,partstown.com,1/1/87,1150A N Swift Rd ,Addison,IL,60101,192 million,131,297,Food & Beverage,191996000
2017,4526,Finit Solutions,finit.com,1/1/02,8050 Hosbrook Road Suite 326,Cincinnati,OH,45236,18.8 million,55,83,IT Services,18794992
2017,2015,Triton Pacific Capital Partners,tritonpacific.com,1/1/96,6701 Center Drive West Suite 1450 ,Los Angeles,CA,90045,336.3 million,186,19,Financial Services,336337920
2017,4509,Morcom International,morcom.com,1/1/84,"3656 Centerview Drive, Unit 1 ",Chantilly,VA,20151,7.1 million,55,19,Telecommunications,7085673
2017,2558,Transportation Insight,transportationinsight.com,1/1/99,310 Main Avenue Way SE ,Hickory,NC,28602,1.6 billion,138,421,Logistics & Transportation,1638270986
2017,2987,Filmwerks International,filmwerksintl.com,1/1/01,589 Carver Dr ,Rocky Point,NC,28457,19.5 million,111,95,Media,19479388
2017,4061,Droisys,droisys.com,1/1/03,4800 Patrick Henry Dr. ,Santa Clara,CA,95054,18.5 million,68,178,IT Services,18549726
2017,3924,iVenture Solutions,iventuresolutions.com,1/1/00,5210 Belfort Rd suite 140 ,Jacksonville,FL,32256,14.4 million,73,87,IT Services,14438937
2017,4376,Simpleview,simpleviewinc.com,1/1/01,7458 N La Cholla Blvd ,Tucson,AZ,85741,32.1 million,58,194,Travel & Hospitality,32127000
2017,3892,LSS Life Safety Services,lifesafetyservices.com,1/1/04,908 South 8th Street Suite 500,Louisville,KY,40203,9.5 million,74,125,Business Products & Services,9496000
2017,3262,Treeline,treeline-inc.com,1/1/01,"591 North Ave, Suite 1 ",Wakefield,MA,01880,2 million,98,20,Business Products & Services,2049284
2017,4265,W2O Group,w2ogroup.com,1/1/01,50 Francisco St. ,San Francisco,CA,94133,122.7 million,62,472,Advertising & Marketing,122715030
2017,4611,PepperDash Technology,pepperdash.com,1/1/00,214 Lincoln Street Suite 330,Allston,MA,02134,5.9 million,51,44,Software,5924499
2017,4831,eVestment,evestment.com,1/1/00,100 Glenridge Point Parkway Suite 100,Atlanta,GA,30342,79.3 million,45,350,Financial Services,79264239
2017,3533,ArcaMax Publishing,arcamax.com,1/1/04,729 Thimble Shoals Blvd. Suite 1-B,Newport News,VA,23606,12.6 million,87,16,Media,12614574
2017,4041,VeriStor Systems,veristor.com,1/1/01,4850 River Green Parkway 4850 River Green Parkway,Duluth,GA,30096,81 million,69,108,IT Services,81043195
2017,3485,Marquam Group,marquam.com,1/1/98,811 SW Naito Parkway Suite 600,Portland,OR,97204,6.4 million,89,40,IT Services,6359450
2017,4649,myMatrixx,mymatrixx.com,1/1/01,3111 W Dr. Martin Luther King Jr. Blvd. Suite 800,Tampa,FL,33607,127.5 million,50,210,Health,127527431
2017,4916,Total Quality Logistics,tql.com,1/1/97,4289 Ivy Pointe Blvd. ,Cincinnati,OH,45245,2.3 billion,43,3001,0,2321116598
2017,4522,Grant Victor,grantvictor.com,1/1/00,854 WEST 450 NORTH #4 ,Kaysville,UT,84037,43.3 million,55,84,Financial Services,43271552
2017,2326,Access Information Management,informationprotected.com,1/1/04,6818 Patterson Pass Road Suite A,Livermore,CA,94550,276.3 million,156,1712,Business Products & Services,276263578
2017,4553,RNR Tire Express,rnrtires.com,1/1/99,14620 N. Nebraska Ave. Bldg. B,Tampa,FL,33613,3.2 million,54,12,Consumer Products & Services,3167697
2017,4580,National Electronic Attachment,nea-fast.com,1/1/97,100 Ashford Center North Suite 300,Dunwwoody,GA,30338,17.6 million,53,120,Health,17635400
2017,3149,List Partners,winmo.com,1/1/95,3098 Piedmont Rd Suite 200,Atlanta,GA,30305,15 million,104,79,Advertising & Marketing,14981795
2017,2818,Mobovida,cellularoutfitter.com,1/1/02,1375 S Acacia Ave ,Fullerton,CA,92831,26 million,121,120,Telecommunications,25993784
2017,3479,Torch Technologies,torchtechnologies.com,1/1/02,4090 South Memorial Parkway ,Huntsville,AL,35802,293.7 million,90,644,Government Services,293708453
2017,4204,Professional Capital Services,pcs401k.com,1/1/01,1801 Market Street Suite 1000,Philadelphia,PA,19103,14.1 million,63,73,Financial Services,14122421
2017,2399,Conservice,conservice.com,1/1/00,99 E 700 S ,Logan,UT,84321,136.8 million,151,1338,Real Estate,136824134
