Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
Eni,70.712,75.483,3.8654,143.132,95,Energy,Oil & Gas Operations,Europe,Italy,Italy,,Claudio Descalzi,http://www.forbes.com/companies/eni/,0.0270058407623732,0.0512088814699999
Charter Communications,64.782,42.074,9.908,146.151,96,Consumer Discretionary,Broadcasting & Cable,North America,United States,Connecticut,Connecticut,Thomas Rutledge,http://www.forbes.com/companies/charter-communications/,0.0677928991248777,0.235489851214527
Nissan Motor,39.72,106.866,7.3793,173.683,97,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Hiroto Saikawa,http://www.forbes.com/companies/nissan-motor/,0.042487174910613,0.069051896767915
LukOil,60.435,99.902,7.1799,91.973,98,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Vagit Alekperov,http://www.forbes.com/companies/lukoil/,0.0780653017733465,0.0718694320434025
United Technologies,99.591,61.218,4.463,98.779,99,Industrials,Conglomerates,North America,United States,Connecticut,Connecticut,Gregory Hayes,http://www.forbes.com/companies/united-technologies/,0.0451816681683354,0.0729033944264759
Bayer,104.625,44.351,8.4222,92.726,100,Materials,Diversified Chemicals,Europe,Germany,Germany,,Werner Baumann,http://www.forbes.com/companies/bayer/,0.0908288937299139,0.189898762147415
AIRBUS,92.149,74.672,2.9765,138.333,101,Industrials,Aerospace & Defense,Europe,Netherlands,Netherlands,,Thomas Enders,http://www.forbes.com/companies/airbus/,0.0215169193178779,0.0398609920719949
PepsiCo,138.141,64.038,4.882,81.887,102,Consumer Staples,Beverages,North America,United States,New York,New York,Indra Nooyi,http://www.forbes.com/companies/pepsico/,0.0596187429018037,0.0762359848839751
Unilever,155.786,60.587,6.8274,72.39,103,Consumer Staples,Household/Personal Care,Europe,Netherlands,Netherlands,,Paulus Polman,http://www.forbes.com/companies/unilever/,0.0943141317861583,0.112687540231403
ANZ,61.245,28.739,5.2729,717.29,104,Financials,Major Banks,Australia,Australia,Australia,,Shayne Elliott,http://www.forbes.com/companies/anz/,0.00735114110053117,0.183475416681165
Hon Hai Precision,49.49,154.711,4.5602,114.496,105,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Terry Gou,http://www.forbes.com/companies/hon-hai-precision/,0.0398284656232532,0.0294756028983072
Tencent Holdings,491.253,35.269,10.6055,85.177,105,Information Technology,Computer Services,Asia,China,China,,Hua Ma,http://www.forbes.com/companies/tencent-holdings/,0.124511311739084,0.300703167087244
"Oracle,191.134,39.471,3.65,138.201,107,Information Technology,Software & Programming,North America,United States,California,California,""Safra A. Catz, Mark Hurd"",http://www.forbes.com/companies/oracle/,0.0264108074471241,0.0924729548275949"
